AADT_mean_x,AADT_Single_Unit_mean_x,AADT_Combination_mean_x,Future_AADT_mean_x,IRI_mean_x,Thickness_Rigid_mean_x,Thickness_Flexible_mean_x,Base_Thickness_mean_x,F_System_mode,Surface_Type_mode,Base_Type_mode_x,Rutting_mean_x,Cracking_Percent_mean_x,Faulting_mean_x,Last_Overlay_Thickness_mean_x,RHU_AV_x,FRZ_IDX_x,TEMP_AVG_x,PRECIPITATION_x,Age_x,Urban_Type_rural,Urban_Type_small urban,Urban_Type_urban,IRI_mean_y
4541,390.0,123.0,6560.0,138.0,8.0,4.4,15.0,4,7,2,0.1,2.0,0.0,2.0,75.9,891.6,7.4,986.4,16,0,0,1,198.0
7826,125.0,697.0,7837.0,96.0,8.0,0.0,16.0,2,3,2,0.0,100.0,0.1,0.0,76.8,618.1,7.8,1006.0,2,1,0,0,118.5
16157,291.0,226.0,32320.0,175.0,0.0,3.0,8.0,3,2,3,0.2,0.0,0.0,1.5,67.1,3.7,19.6,933.1,65,0,0,1,200.0
16570,298.0,232.0,25186.0,163.0,0.0,3.0,8.0,3,2,3,0.1,0.0,0.0,1.5,62.8,0.0,23.0,534.0,11,0,0,1,191.5
30297,576.0,121.0,42420.0,154.9,0.0,3.0,8.0,3,2,3,0.1,0.4,0.0,1.5,39.5,3.1,17.3,240.0,27,0,0,1,157.2
23284,745.0,256.0,32600.0,118.7,0.0,3.0,8.0,3,2,3,0.0,0.2,0.0,1.5,39.5,3.1,17.3,240.0,9,0,0,1,128.0
12370,136.0,74.0,17320.0,164.5,0.0,3.0,8.0,3,2,3,0.1,0.0,0.0,1.5,39.5,3.1,17.3,240.0,37,0,0,1,165.4
14380,992.0,316.0,20130.0,88.0,0.0,3.0,6.0,3,2,3,0.1,0.0,0.0,1.5,68.9,2.9,20.0,1021.3,19,0,0,1,96.8
3581,79.0,43.0,5010.0,183.0,0.0,3.0,8.0,3,2,3,0.1,3.5,0.0,1.5,68.6,9.0,18.7,1015.6,65,0,0,1,212.8
2886,46.0,29.0,5370.0,116.8,0.0,3.0,10.0,3,2,3,0.0,1.0,0.0,1.5,68.6,9.0,18.7,1015.6,65,0,0,1,125.2
61960,744.0,2851.0,62225.0,102.8,9.0,0.0,18.0,2,3,2,0.0,23.0,0.1,0.0,76.2,519.1,8.7,1083.9,6,0,0,1,117.0
10870,131.0,175.0,10897.0,76.0,0.0,5.0,18.0,4,2,2,0.1,0.0,0.0,0.0,76.4,534.7,8.4,995.6,7,1,0,0,93.4
24272,632.0,4272.0,24340.0,80.6,9.0,0.0,16.0,1,3,2,0.0,61.6,0.1,0.0,76.4,534.7,8.4,995.6,0,0,1,0,101.4
16364,205.0,1434.0,16407.0,168.0,10.5,0.0,16.0,2,3,2,0.0,63.0,0.0,0.0,76.8,451.3,9.1,1145.8,5,0,0,1,178.5
11063,255.0,752.0,10975.0,78.0,0.0,8.0,24.0,3,2,2,0.1,0.0,0.0,0.0,76.4,490.5,9.0,1106.4,5,0,0,1,104.0
55443,998.0,13141.0,55802.0,90.0,11.0,0.0,16.0,1,3,2,0.0,0.0,0.0,0.0,76.0,433.6,9.5,1045.2,27,0,0,1,93.0
55866,1006.0,13184.0,56194.0,101.7,11.0,0.0,16.0,1,3,2,0.0,10.7,0.1,0.0,76.0,433.6,9.5,1045.2,27,0,0,1,110.7
44738,805.0,2282.0,44786.0,82.0,9.0,0.0,16.0,2,3,2,0.0,0.0,0.0,0.0,76.0,433.6,9.5,1045.2,17,0,0,1,98.0
107118,2142.0,5999.0,107221.0,93.0,9.0,0.0,16.0,2,3,2,0.0,0.0,0.1,0.0,76.3,457.0,9.1,1050.3,16,0,0,1,99.0
101622,2134.0,5896.0,101713.0,62.7,9.0,0.0,16.0,2,3,2,0.0,0.0,0.0,0.0,76.3,457.0,9.1,1050.3,16,0,0,1,95.0
6352,219.0,59.0,6364.0,96.0,0.0,3.3,15.0,5,2,2,0.1,0.0,0.0,2.0,76.0,896.3,7.3,979.6,14,1,0,0,194.0
17533,211.0,614.0,17471.0,98.5,9.0,0.0,16.0,3,3,2,0.0,0.0,0.1,0.0,76.4,504.3,8.3,963.7,8,0,0,1,112.0
53355,733.0,2026.0,53461.0,53.0,0.0,6.0,15.0,5,6,2,0.0,1.0,0.0,2.0,76.2,753.3,8.0,1100.3,19,1,0,0,104.0
11472,871.0,217.0,11610.0,202.0,8.0,0.0,15.0,4,3,2,0.0,9.0,0.0,2.0,76.6,649.7,8.5,1087.4,5,0,0,1,222.0
9293,568.0,140.0,9405.0,200.0,8.0,0.0,15.0,4,3,2,0.0,0.0,0.0,2.0,77.6,700.9,7.5,907.1,11,0,1,0,275.0
1685,215.0,25.0,1705.0,102.0,0.0,6.0,15.0,4,2,2,0.0,0.0,0.0,2.0,76.2,827.5,7.5,1109.3,5,0,1,0,108.0
415,165.0,165.0,420.0,46.0,0.0,6.0,15.0,5,2,2,0.0,0.0,0.0,2.0,78.5,1081.5,5.6,1089.7,13,1,0,0,103.0
1939,556.0,153.0,1962.0,169.0,0.0,6.0,15.0,5,6,2,0.1,3.0,0.0,2.0,76.6,739.7,8.1,1119.6,7,0,0,1,189.0
4443,341.0,69.0,4496.0,96.0,0.0,3.3,15.0,4,2,2,0.1,1.0,0.0,2.0,76.6,739.7,8.1,1119.6,1,0,0,1,97.0
479,18.0,4.0,482.0,143.0,0.0,6.0,15.0,5,2,2,0.0,0.0,0.0,2.0,76.4,974.9,6.8,1000.5,21,0,0,1,381.0
30815,1057.0,251.0,31123.0,130.0,0.0,8.5,10.0,3,2,3,0.1,27.0,0.0,1.5,76.1,456.6,8.9,1255.7,21,0,0,1,152.0
46000,1250.0,1440.0,52600.0,59.0,0.0,10.0,15.0,1,2,3,0.1,13.0,0.0,0.0,74.2,49.8,14.6,1219.1,13,0,0,1,93.0
50000,1800.0,3990.0,68500.0,111.0,9.0,0.5,4.0,1,6,2,0.1,0.0,0.0,2.5,75.1,56.1,14.5,1225.7,48,1,0,0,117.0
31000,1420.0,1550.0,41200.0,50.0,0.0,8.0,8.0,2,2,2,0.2,1.0,0.0,1.5,78.3,8.3,17.4,1538.4,39,0,0,1,96.0
