AADT_mean_x,AADT_Single_Unit_mean_x,AADT_Combination_mean_x,Future_AADT_mean_x,IRI_mean_x,Thickness_Rigid_mean_x,Thickness_Flexible_mean_x,Base_Thickness_mean_x,F_System_mode,Urban_Type,Surface_Type_mode,Base_Type_mode_x,Rutting_mean_x,Cracking_Percent_mean_x,Faulting_mean_x,Last_Overlay_Thickness_mean_x,IRI_mean_y,RHU_AV_x,FRZ_IDX_x,TEMP_AVG_x,PRECIPITATION_x,Age_x
4498,502,173,5550,67,0,6,15,4,small urban,6,2,0,0,0,2,84,75.4,798.1,7.7,1107.3,24
4541,390,123,6560,138,8,4.4,15,4,urban,7,2,0.1,2,0,2,198,75.9,891.6,7.4,986.4,16
40961,820,2295,40924,64,11.5,0,15,1,urban,3,2,0,0,0,0,71.5,76.2,535.4,8.5,1068.6,5
7826,125,697,7837,96,8,0,16,2,rural,3,2,0,100,0.1,0,118.5,76.8,618.1,7.8,1006,2
16157,291,226,32320,175,0,3,8,3,urban,2,3,0.2,0,0,1.5,200,67.1,3.7,19.6,933.1,65
16570,298,232,25186,163,0,3,8,3,urban,2,3,0.1,0,0,1.5,191.5,62.8,0,23,534,11
30297,576,121,42420,154.9,0,3,8,3,urban,2,3,0.1,0.4,0,1.5,157.2,39.5,3.1,17.3,240,27
23284,745,256,32600,118.7,0,3,8,3,urban,2,3,0,0.2,0,1.5,128,39.5,3.1,17.3,240,9
12370,136,74,17320,164.5,0,3,8,3,urban,2,3,0.1,0,0,1.5,165.4,39.5,3.1,17.3,240,37
14380,992,316,20130,88,0,3,6,3,urban,2,3,0.1,0,0,1.5,96.8,68.9,2.9,20,1021.3,19
3581,79,43,5010,183,0,3,8,3,urban,2,3,0.1,3.5,0,1.5,212.8,68.6,9,18.7,1015.6,65
2886,46,29,5370,116.8,0,3,10,3,urban,2,3,0,1,0,1.5,125.2,68.6,9,18.7,1015.6,65
52321,1086,6141,52296,62,12,0,16,1,rural,3,2,0,0,0,0,64.3,76.2,519.1,8.7,1083.9,6
61960,744,2851,62225,102.8,9,0,18,2,urban,3,2,0,23,0.1,0,117,76.2,519.1,8.7,1083.9,6
14453,231,390,14480,59,0,7,24,4,rural,2,2,0.1,0,0,0,60.5,76.8,494.6,8.6,1109.3,6
